journal_title,publisher,issn
Journal of Financial Markets,Elsevier BV,1386-4181
Journal of Financial Markets,Elsevier BV,1878-576X
Transactions of the American Fisheries Society,Wiley,0002-8487
Transactions of the American Fisheries Society,Wiley,1548-8659
Language and Education,Informa UK Limited,0950-0782
Language and Education,Informa UK Limited,1747-7581
South African Journal of Business Management,AOSIS,2078-5585
South African Journal of Business Management,AOSIS,2078-5976
Journal of Tropical Pediatrics,Oxford University Press (OUP),0142-6338
Journal of Tropical Pediatrics,Oxford University Press (OUP),1465-3664
Journal of Carbohydrate Chemistry,Informa UK Limited,0732-8303
Journal of Carbohydrate Chemistry,Informa UK Limited,1532-2327
Clinics in Perinatology,Elsevier BV,0095-5108
Clinics in Perinatology,Elsevier BV,1557-9840
Congenital Heart Disease,Wiley,1747-079X
Congenital Heart Disease,Wiley,1747-0803
World Englishes,Wiley,0883-2919
World Englishes,Wiley,1467-971X
Ocean Development & International Law,Informa UK Limited,0090-8320
Ocean Development & International Law,Informa UK Limited,1521-0642
Philosophical Issues,Wiley,1533-6077
Philosophical Issues,Wiley,1758-2237
Agriculture and Human Values,Springer Science and Business Media LLC,0889-048X
Agriculture and Human Values,Springer Science and Business Media LLC,1572-8366
Minerva,Springer Science and Business Media LLC,0026-4695
Minerva,Springer Science and Business Media LLC,1573-1871
Verhaltenstherapie,S. Karger AG,1016-6262
Verhaltenstherapie,S. Karger AG,1423-0402
Invertebrate Reproduction & Development,Informa UK Limited,0792-4259
Invertebrate Reproduction & Development,Informa UK Limited,2157-0272
IEEE Instrumentation & Measurement Magazine,Institute of Electrical and Electronics Engineers (IEEE),1094-6969
IEEE Instrumentation & Measurement Magazine,Institute of Electrical and Electronics Engineers (IEEE),1941-0123
The Journal of Mathematical Sociology,Informa UK Limited,0022-250X
The Journal of Mathematical Sociology,Informa UK Limited,1545-5874
Image Analysis & Stereology,Slovenian Society for Stereology and Quantitative Image Analysis,1580-3139
Image Analysis & Stereology,Slovenian Society for Stereology and Quantitative Image Analysis,1854-5165
Bulletin of Indonesian Economic Studies,Informa UK Limited,0007-4918
Bulletin of Indonesian Economic Studies,Informa UK Limited,1472-7234
Journal of Food Safety,Wiley,0149-6085
Journal of Food Safety,Wiley,1745-4565
Journal of the Economic and Social History of the Orient,Brill,0022-4995
Journal of the Economic and Social History of the Orient,Brill,1568-5209
European Journal of Inflammation,SAGE Publications,1721-727X
European Journal of Inflammation,SAGE Publications,2058-7392
Journal of Family History,SAGE Publications,0363-1990
Journal of Family History,SAGE Publications,1552-5473
Tempo,Cambridge University Press (CUP),0040-2982
Tempo,Cambridge University Press (CUP),1478-2286
Journal of the History of Biology,Springer Science and Business Media LLC,0022-5010
Journal of the History of Biology,Springer Science and Business Media LLC,1573-0387
Journal of the American Institute for Conservation,Informa UK Limited,0197-1360
Journal of the American Institute for Conservation,Informa UK Limited,1945-2330
Tempo,FapUNIFESP (SciELO),1413-7704
Tempo,FapUNIFESP (SciELO),1980-542X
Aquatic Sciences,Springer Science and Business Media LLC,1015-1621
Aquatic Sciences,Springer Science and Business Media LLC,1420-9055
European Journal on Criminal Policy and Research,Springer Science and Business Media LLC,0928-1371
European Journal on Criminal Policy and Research,Springer Science and Business Media LLC,1572-9869
Arabian Archaeology and Epigraphy,Wiley,0905-7196
Arabian Archaeology and Epigraphy,Wiley,1600-0471
"Cryptogamie, Algologie","Museum National d'Histoire Naturelle, Paris, France",0181-1568
"Cryptogamie, Algologie","Museum National d'Histoire Naturelle, Paris, France",1776-0984
Economics & Politics,Wiley,0954-1985
Economics & Politics,Wiley,1468-0343
Dynamic Systems and Applications,Academic Publications,1056-2176
"Mathematics of Control, Signals, and Systems",Springer Science and Business Media LLC,0932-4194
"Mathematics of Control, Signals, and Systems",Springer Science and Business Media LLC,1435-568X
Acta Veterinaria Hungarica,Akademiai Kiado Zrt.,0236-6290
Acta Veterinaria Hungarica,Akademiai Kiado Zrt.,1588-2705
International Journal of Integrated Care,"Ubiquity Press, Ltd.",1568-4156
Developing World Bioethics,Wiley,1471-8731
Developing World Bioethics,Wiley,1471-8847
Clinical Microbiology Reviews,American Society for Microbiology,0893-8512
Clinical Microbiology Reviews,American Society for Microbiology,1070-6305
Clinical Microbiology Reviews,American Society for Microbiology,1098-6618
Vierteljahrshefte für Zeitgeschichte,Walter de Gruyter GmbH,0042-5702
Vierteljahrshefte für Zeitgeschichte,Walter de Gruyter GmbH,2196-7121
Journal of Economic Growth,Springer Science and Business Media LLC,1381-4338
Journal of Economic Growth,Springer Science and Business Media LLC,1573-7020
European Journal of Psychology of Education,Springer Science and Business Media LLC,0256-2928
European Journal of Psychology of Education,Springer Science and Business Media LLC,1878-5174
Journal of Continuing Education in the Health Professions,Ovid Technologies (Wolters Kluwer Health),0894-1912
Journal of Continuing Education in the Health Professions,Ovid Technologies (Wolters Kluwer Health),1554-558X
Representations,University of California Press,0734-6018
Representations,University of California Press,1533-855X
The Journal of Jewish Thought and Philosophy,Brill,1053-699X
The Journal of Jewish Thought and Philosophy,Brill,1477-285X
Hokkaido Mathematical Journal,"Department of Mathematics, Hokkaido University",0385-4035
Marine Mammal Science,Wiley,0824-0469
Marine Mammal Science,Wiley,1748-7692
The British Journal for the History of Science,Cambridge University Press (CUP),0007-0874
The British Journal for the History of Science,Cambridge University Press (CUP),1474-001X
Journal of New Music Research,Informa UK Limited,0929-8215
Journal of New Music Research,Informa UK Limited,1744-5027
Expressions maghrébines,Project Muse,1540-0085
Expressions maghrébines,Project Muse,2475-2401
Neohelicon,Springer Science and Business Media LLC,0324-4652
Neohelicon,Springer Science and Business Media LLC,1588-2810
Sociológia - Slovak Sociological Review,Central Library of the Slovak Academy of Sciences,0049-1225
Sociológia - Slovak Sociological Review,Central Library of the Slovak Academy of Sciences,1336-8613
Journal of Family Theory & Review,Wiley,1756-2570
Journal of Family Theory & Review,Wiley,1756-2589
Energy Strategy Reviews,Elsevier BV,2211-467X
Energy Strategy Reviews,Elsevier BV,2211-4688
New Theatre Quarterly,Cambridge University Press (CUP),0266-464X
New Theatre Quarterly,Cambridge University Press (CUP),1474-0613
Zoology,Elsevier BV,0944-2006
Zoology,Elsevier BV,1873-2720
Diabetes & Metabolism Journal,Korean Diabetes Association (KAMJE),2233-6079
Diabetes & Metabolism Journal,Korean Diabetes Association (KAMJE),2233-6087
Études Germaniques,CAIRN,0014-2115
Études Germaniques,CAIRN,2426-5543
Youth Justice,SAGE Publications,1473-2254
Youth Justice,SAGE Publications,1747-6283
Disease-a-Month,Elsevier BV,0011-5029
Disease-a-Month,Elsevier BV,1557-8194
Pathobiology,S. Karger AG,1015-2008
Pathobiology,S. Karger AG,1423-0291
Journal of Hyperbolic Differential Equations,World Scientific Pub Co Pte Lt,0219-8916
Journal of Hyperbolic Differential Equations,World Scientific Pub Co Pte Lt,1793-6993
Zeitschrift für Pädagogische Psychologie,Hogrefe Publishing Group,1010-0652
Zeitschrift für Pädagogische Psychologie,Hogrefe Publishing Group,1664-2910
Journal of Environmental Law,Oxford University Press (OUP),0952-8873
Journal of Environmental Law,Oxford University Press (OUP),1464-374X
Journal of the Royal Society of New Zealand,Informa UK Limited,0303-6758
Journal of the Royal Society of New Zealand,Informa UK Limited,1175-8899
Život umjetnosti,Institute of Art History,0514-7794
Život umjetnosti,Institute of Art History,1849-2207
IEEE Computational Intelligence Magazine,Institute of Electrical and Electronics Engineers (IEEE),1556-603X
IEEE Computational Intelligence Magazine,Institute of Electrical and Electronics Engineers (IEEE),1556-6048
Revista 180,Universidad Diego Portales,0718-2309
Revista 180,Universidad Diego Portales,0718-669X
The Journal of the Torrey Botanical Society,Torrey Botanical Society,1095-5674
The Journal of the Torrey Botanical Society,Torrey Botanical Society,1940-0616
IEEE Transactions on Cognitive and Developmental Systems,Institute of Electrical and Electronics Engineers (IEEE),2379-8920
IEEE Transactions on Cognitive and Developmental Systems,Institute of Electrical and Electronics Engineers (IEEE),2379-8939
Revista de História da Sociedade e da Cultura,Coimbra University Press,1645-2259
Revista de História da Sociedade e da Cultura,Coimbra University Press,2183-8615
Post-Communist Economies,Informa UK Limited,1463-1377
Post-Communist Economies,Informa UK Limited,1465-3958
Statistical Modelling: An International Journal,SAGE Publications,1471-082X
Statistical Modelling: An International Journal,SAGE Publications,1477-0342
International Journal of Immunogenetics,Wiley,1744-3121
International Journal of Immunogenetics,Wiley,1744-313X
School Psychology Quarterly,American Psychological Association (APA),1045-3830
School Psychology Quarterly,American Psychological Association (APA),1939-1560
npj Biofilms and Microbiomes,Springer Science and Business Media LLC,2055-5008
"Geoscientific Instrumentation, Methods and Data Systems",Copernicus GmbH,2193-0856
"Geoscientific Instrumentation, Methods and Data Systems",Copernicus GmbH,2193-0864
Autonomous Agents and Multi-Agent Systems,Springer Science and Business Media LLC,1387-2532
Autonomous Agents and Multi-Agent Systems,Springer Science and Business Media LLC,1573-7454
Archive for the Psychology of Religion,SAGE Publications,0084-6724
Archive for the Psychology of Religion,SAGE Publications,1573-6121
International Journal of Paediatric Dentistry,Wiley,0960-7439
International Journal of Paediatric Dentistry,Wiley,1365-263X
Social Science Information,SAGE Publications,0539-0184
Social Science Information,SAGE Publications,1461-7412
Frontiers in Neuroinformatics,Frontiers Media SA,1662-5196
Scandinavian Journal of History,Informa UK Limited,0346-8755
Scandinavian Journal of History,Informa UK Limited,1502-7716
International Journal of Educational Technology in Higher Education,Springer Science and Business Media LLC,2365-9440
Frontiers of Medicine,Springer Science and Business Media LLC,2095-0217
Frontiers of Medicine,Springer Science and Business Media LLC,2095-0225
Investigación Económica,Universidad Nacional Autonoma de Mexico,0185-1667
Investigación Económica,Universidad Nacional Autonoma de Mexico,2594-2360
International Journal of Pest Management,Informa UK Limited,0967-0874
International Journal of Pest Management,Informa UK Limited,1366-5863
Environmental Conservation,Cambridge University Press (CUP),0376-8929
Environmental Conservation,Cambridge University Press (CUP),1469-4387
Fiber and Integrated Optics,Informa UK Limited,0146-8030
Fiber and Integrated Optics,Informa UK Limited,1096-4681
Iranian Journal of Biotechnology,Armenian Green Publishing Co.,1728-3043
Iranian Journal of Biotechnology,Armenian Green Publishing Co.,2322-2921
Journal of the Royal Statistical Society: Series A (Statistics in Society),Wiley,0964-1998
Journal of the Royal Statistical Society: Series A (Statistics in Society),Wiley,1467-985X
Zeitschrift fuer deutsches Altertum und Literatur,S. Hirzel Verlag,0044-2518
Archives of Osteoporosis,Springer Science and Business Media LLC,1862-3522
Representation Theory of the American Mathematical Society,American Mathematical Society (AMS),1088-4165
Bioinorganic Chemistry and Applications,Hindawi Limited,1565-3633
Bioinorganic Chemistry and Applications,Hindawi Limited,1687-479X
SAHARA-J: Journal of Social Aspects of HIV/AIDS,Informa UK Limited,1729-0376
SAHARA-J: Journal of Social Aspects of HIV/AIDS,Informa UK Limited,1813-4424
Rehabilitation Nursing,Ovid Technologies (Wolters Kluwer Health),0278-4807
Rehabilitation Nursing,Ovid Technologies (Wolters Kluwer Health),2048-7940
Basin Research,Wiley,0950-091X
Basin Research,Wiley,1365-2117
Journal of Applied Mathematics and Mechanics,Elsevier BV,0021-8928
Journal of Applied Mathematics and Mechanics,Elsevier BV,1873-4855
Journal of Clinical Biochemistry and Nutrition,The Society for Free Radical Research Japan,0912-0009
Journal of Clinical Biochemistry and Nutrition,The Society for Free Radical Research Japan,1880-5086
Death Studies,Informa UK Limited,0748-1187
Death Studies,Informa UK Limited,1091-7683
The China Journal,University of Chicago Press,1324-9347
The China Journal,University of Chicago Press,1835-8535
Research in Drama Education: The Journal of Applied Theatre and Performance,Informa UK Limited,1356-9783
Research in Drama Education: The Journal of Applied Theatre and Performance,Informa UK Limited,1470-112X
The Southern Literary Journal,Project Muse,0038-4291
The Southern Literary Journal,Project Muse,1534-1461
Canadian Review of American Studies,University of Toronto Press Inc. (UTPress),0007-7720
Canadian Review of American Studies,University of Toronto Press Inc. (UTPress),1710-114X
Tohoku Mathematical Journal,"Mathematical Institute, Tohoku University",0040-8735
Tohoku Mathematical Journal,"Mathematical Institute, Tohoku University",1881-2015
Tohoku Mathematical Journal,"Mathematical Institute, Tohoku University",2186-585X
Phyllomedusa: Journal of Herpetology,Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,1519-1397
Phyllomedusa: Journal of Herpetology,Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,2316-9079
History of Psychology,American Psychological Association (APA),1093-4510
History of Psychology,American Psychological Association (APA),1939-0610
"Mind, Brain, and Education",Wiley,1751-2271
"Mind, Brain, and Education",Wiley,1751-228X
Journal of Eastern African Studies,Informa UK Limited,1753-1055
Journal of Eastern African Studies,Informa UK Limited,1753-1063
African Natural History,Academy of Science of South Africa,1816-8396
African Natural History,Academy of Science of South Africa,2305-7963
The Chaucer Review,The Pennsylvania State University Press,0009-2002
The Chaucer Review,The Pennsylvania State University Press,1528-4204
The Contemporary Pacific,Project Muse,1043-898X
The Contemporary Pacific,Project Muse,1527-9464
Hastings Center Report,Wiley,0093-0334
Hastings Center Report,Wiley,1552-146X
Personality and Mental Health,Wiley,1932-8621
Personality and Mental Health,Wiley,1932-863X
Statistical Science,Institute of Mathematical Statistics,0883-4237
Statistical Science,Institute of Mathematical Statistics,2168-8745
Applied Psycholinguistics,Cambridge University Press (CUP),0142-7164
Applied Psycholinguistics,Cambridge University Press (CUP),1469-1817
European Journal of Phycology,Informa UK Limited,0967-0262
European Journal of Phycology,Informa UK Limited,1469-4433
Computational Methods in Applied Mathematics,Walter de Gruyter GmbH,1609-4840
Computational Methods in Applied Mathematics,Walter de Gruyter GmbH,1609-9389
Prostor,"University of Zagreb, Faculty of Architecture",1330-0652
Prostor,"University of Zagreb, Faculty of Architecture",1333-9117
Archipel,OpenEdition,0044-8613
Archipel,OpenEdition,2104-3655
Philosophische Rundschau,Mohr Siebeck,0031-8159
Philosophische Rundschau,Mohr Siebeck,1868-7261
Sexual and Relationship Therapy,Informa UK Limited,1468-1749
Sexual and Relationship Therapy,Informa UK Limited,1468-1994
Journal of American History,Oxford University Press (OUP),0021-8723
Journal of American History,Oxford University Press (OUP),1945-2314
Smith College Studies in Social Work,Informa UK Limited,0037-7317
Smith College Studies in Social Work,Informa UK Limited,1553-0426
Renascence,Philosophy Documentation Center,0034-4346
Renascence,Philosophy Documentation Center,2329-8626
Constraints,Springer Science and Business Media LLC,1383-7133
Constraints,Springer Science and Business Media LLC,1572-9354
Cold War History,Informa UK Limited,1468-2745
Cold War History,Informa UK Limited,1743-7962
Journal of Computational and Theoretical Transport,Informa UK Limited,2332-4309
Journal of Computational and Theoretical Transport,Informa UK Limited,2332-4325
Annual Review of Resource Economics,Annual Reviews,1941-1340
Annual Review of Resource Economics,Annual Reviews,1941-1359
Southern Forests: a Journal of Forest Science,Informa UK Limited,2070-2620
Southern Forests: a Journal of Forest Science,Informa UK Limited,2070-2639
Interpretation: A Journal of Bible and Theology,SAGE Publications,0020-9643
Interpretation: A Journal of Bible and Theology,SAGE Publications,2159-340X
European Journal of Work and Organizational Psychology,Informa UK Limited,1359-432X
European Journal of Work and Organizational Psychology,Informa UK Limited,1464-0643
Potential Analysis,Springer Science and Business Media LLC,0926-2601
Potential Analysis,Springer Science and Business Media LLC,1572-929X
International Journal of Applied Mathematics and Computer Science,Walter de Gruyter GmbH,1641-876X
International Journal of Applied Mathematics and Computer Science,Walter de Gruyter GmbH,2083-8492
International Journal of Economic Theory,Wiley,1742-7355
International Journal of Economic Theory,Wiley,1742-7363
Advances in Applied Mathematics,Elsevier BV,0196-8858
Advances in Applied Mathematics,Elsevier BV,1090-2074
Philippine Political Science Journal,Brill,0115-4451
Philippine Political Science Journal,Brill,2165-025X
Work & Stress,Informa UK Limited,0267-8373
Work & Stress,Informa UK Limited,1464-5335
Lit: Literature Interpretation Theory,Informa UK Limited,1043-6928
Lit: Literature Interpretation Theory,Informa UK Limited,1545-5866
Diabetologie und Stoffwechsel,Georg Thieme Verlag KG,1861-9002
Diabetologie und Stoffwechsel,Georg Thieme Verlag KG,1861-9010
Revolutionary Russia,Informa UK Limited,0954-6545
Revolutionary Russia,Informa UK Limited,1743-7873
Journal of African Law,Cambridge University Press (CUP),0021-8553
Journal of African Law,Cambridge University Press (CUP),1464-3731
Transfusion Medicine and Hemotherapy,S. Karger AG,1660-3796
Transfusion Medicine and Hemotherapy,S. Karger AG,1660-3818
International Journal of Nursing Knowledge,Wiley,2047-3087
International Journal of Nursing Knowledge,Wiley,2047-3095
Turkish Journal of Psychiatry,Turkish Association of Nervous and Mental Health,1300-2163
International Journal of Mental Health Promotion,Informa UK Limited,1462-3730
International Journal of Mental Health Promotion,Informa UK Limited,2049-8543
Primary Care Respiratory Journal,Springer Nature,1471-4418
Primary Care Respiratory Journal,Springer Nature,1475-1534
Topics in Early Childhood Special Education,SAGE Publications,0271-1214
Topics in Early Childhood Special Education,SAGE Publications,1538-4845
Psycho-Oncologie,Lavoisier,1778-3798
Psycho-Oncologie,Lavoisier,1778-381X
Social Problems,Oxford University Press (OUP),0037-7791
Social Problems,Oxford University Press (OUP),1533-8533
International Political Science Review,SAGE Publications,0192-5121
International Political Science Review,SAGE Publications,1460-373X
Sociology,SAGE Publications,0038-0385
Sociology,SAGE Publications,1469-8684
International Gambling Studies,Informa UK Limited,1445-9795
International Gambling Studies,Informa UK Limited,1445-9809
International Gambling Studies,Informa UK Limited,1479-4276
Transboundary and Emerging Diseases,Wiley,1865-1674
Transboundary and Emerging Diseases,Wiley,1865-1682
Journal of Design History,Oxford University Press (OUP),0952-4649
Journal of Design History,Oxford University Press (OUP),1741-7279
Global NEST: the international Journal,University of the Aegean,1790-7632
Global NEST: the international Journal,University of the Aegean,2241-777X
Persoonia - Molecular Phylogeny and Evolution of Fungi,Naturalis Biodiversity Center,0031-5850
Persoonia - Molecular Phylogeny and Evolution of Fungi,Naturalis Biodiversity Center,1878-9080
ETNA - Electronic Transactions on Numerical Analysis,Osterreichische Akademie der Wissenschaften,1068-9613
ETNA - Electronic Transactions on Numerical Analysis,Osterreichische Akademie der Wissenschaften,1097-4067
Physics of Wave Phenomena,Allerton Press,1541-308X
Physics of Wave Phenomena,Allerton Press,1934-807X
Islamic Africa,Brill,2154-0993
Islamic Africa,Brill,2333-262X
Dialog,Wiley,0012-2033
Dialog,Wiley,1540-6385
Journal of Empirical Legal Studies,Wiley,1740-1453
Journal of Empirical Legal Studies,Wiley,1740-1461
Australian Journal of Forensic Sciences,Informa UK Limited,0045-0618
Australian Journal of Forensic Sciences,Informa UK Limited,1834-562X
The European Journal of Psychiatry,Elsevier BV,0213-6163
The European Journal of Psychiatry,Elsevier BV,2340-4469
Journal of Modern Greek Studies,Project Muse,0738-1727
Journal of Modern Greek Studies,Project Muse,1086-3265
Journal of Empirical Research on Human Research Ethics,SAGE Publications,1556-2646
Journal of Empirical Research on Human Research Ethics,SAGE Publications,1556-2654
Terminology,John Benjamins Publishing Company,0929-9971
Terminology,John Benjamins Publishing Company,1569-9994
The Keats-Shelley Review,Informa UK Limited,0952-4142
The Keats-Shelley Review,Informa UK Limited,2042-1362
Language,Project Muse,0097-8507
Language,Project Muse,1535-0665
Travel Behaviour and Society,Elsevier BV,2214-367X
Travel Behaviour and Society,Elsevier BV,2214-3688
Anuario Musical,Departmento de Publicaciones del CSIC,0211-3538
Anuario Musical,Departmento de Publicaciones del CSIC,1988-4125
Revue des sciences philosophiques et théologiques,CAIRN,0035-2209
Revue des sciences philosophiques et théologiques,CAIRN,2118-4445
Osmanlı Araştırmaları,Osmanli Arastirmalari,0255-0636
Chemoecology,Springer Science and Business Media LLC,0937-7409
Chemoecology,Springer Science and Business Media LLC,1423-0445
Bulletin de la Soci&#233;t&#233; math&#233;matique de France,Societe Mathematique de France,0037-9484
Bulletin de la Soci&#233;t&#233; math&#233;matique de France,Societe Mathematique de France,2102-622X
Carbon Management,Informa UK Limited,1758-3004
Carbon Management,Informa UK Limited,1758-3012
Moscow Mathematical Journal,"National Research University, Higher School of Economics (HSE)",1609-3321
Moscow Mathematical Journal,"National Research University, Higher School of Economics (HSE)",1609-4514
Al-Masāq,Informa UK Limited,0950-3110
Al-Masāq,Informa UK Limited,1473-348X
Arti musices,Croatian Academy of Sciences and Arts,0587-5455
Arti musices,Croatian Academy of Sciences and Arts,1848-9303
Journal of Healthcare Management,Ovid Technologies (Wolters Kluwer Health),1096-9012
Journal of Healthcare Management,Ovid Technologies (Wolters Kluwer Health),1944-7396
Revue de géographie alpine,OpenEdition,0035-1121
Revue de géographie alpine,OpenEdition,1760-7426
Journal of Ship Research,The Society of Naval Architects and Marine Engineers,0022-4502
Journal of Ship Research,The Society of Naval Architects and Marine Engineers,1542-0604
International Review of Hydrobiology,Wiley,1434-2944
International Review of Hydrobiology,Wiley,1522-2632
International Review of Sport and Exercise Psychology,Informa UK Limited,1750-984X
International Review of Sport and Exercise Psychology,Informa UK Limited,1750-9858
Politix,CAIRN,0295-2319
Politix,CAIRN,1953-8286
Teacher Education and Special Education: The Journal of the Teacher Education Division of the Council for Exceptional Children,SAGE Publications,0888-4064
Teacher Education and Special Education: The Journal of the Teacher Education Division of the Council for Exceptional Children,SAGE Publications,1944-4931
Journal of Destination Marketing & Management,Elsevier BV,2212-571X
Journal of Destination Marketing & Management,Elsevier BV,2212-5752
Publications of the Research Institute for Mathematical Sciences,European Mathematical Publishing House,0034-5318
Publications of the Research Institute for Mathematical Sciences,European Mathematical Publishing House,1663-4926
Études françaises,Consortium Erudit,0014-2085
Études françaises,Consortium Erudit,1492-1405
Vetus Testamentum,Brill,0042-4935
Vetus Testamentum,Brill,1568-5330
Seminars in Vascular Surgery,Elsevier BV,0895-7967
Seminars in Vascular Surgery,Elsevier BV,1558-4518
Journal of Topology,Wiley,1753-8416
Journal of Topology,Wiley,1753-8424
cultural geographies,SAGE Publications,1474-4740
cultural geographies,SAGE Publications,1477-0881
Acta Entomologica Musei Nationalis Pragae,Walter de Gruyter GmbH,0374-1036
Acta Entomologica Musei Nationalis Pragae,Walter de Gruyter GmbH,1804-6487
Journal of Contemporary European Studies,Informa UK Limited,1478-2790
Journal of Contemporary European Studies,Informa UK Limited,1478-2804
Journal for Research in Mathematics Education,National Council of Teachers of Mathematics,0021-8251
Journal for Research in Mathematics Education,National Council of Teachers of Mathematics,1945-2306
Journal of Neurosurgical Sciences,Edizioni Minerva Medica,0390-5616
Journal of Neurosurgical Sciences,Edizioni Minerva Medica,1827-1855
Journal of Maritime Archaeology,Springer Science and Business Media LLC,1557-2285
Journal of Maritime Archaeology,Springer Science and Business Media LLC,1557-2293
Sustainable Computing: Informatics and Systems,Elsevier BV,2210-5379
Sustainable Computing: Informatics and Systems,Elsevier BV,2210-5387
Cancer and Metastasis Reviews,Springer Science and Business Media LLC,0167-7659
Cancer and Metastasis Reviews,Springer Science and Business Media LLC,1573-7233
International Journal of Transgenderism,Informa UK Limited,1434-4599
International Journal of Transgenderism,Informa UK Limited,1553-2739
International Development Planning Review,Liverpool University Press,1474-6743
International Development Planning Review,Liverpool University Press,1478-3401
Minds and Machines,Springer Science and Business Media LLC,0924-6495
Minds and Machines,Springer Science and Business Media LLC,1572-8641
Geburtshilfe und Frauenheilkunde,Georg Thieme Verlag KG,0016-5751
Geburtshilfe und Frauenheilkunde,Georg Thieme Verlag KG,1438-8804
Geburtshilfe und Frauenheilkunde,Georg Thieme Verlag KG,2199-6989
Human Resource Development Quarterly,Wiley,1044-8004
Human Resource Development Quarterly,Wiley,1532-1096
History of European Ideas,Informa UK Limited,0191-6599
History of European Ideas,Informa UK Limited,1873-541X
Biocatalysis and Biotransformation,Informa UK Limited,1024-2422
Biocatalysis and Biotransformation,Informa UK Limited,1026-5503
Biocatalysis and Biotransformation,Informa UK Limited,1029-2446
Teachers and Teaching,Informa UK Limited,1354-0602
Teachers and Teaching,Informa UK Limited,1470-1278
Journal of Bone Oncology,Elsevier BV,2212-1366
Journal of Bone Oncology,Elsevier BV,2212-1374
Journal of Artificial Intelligence Research,AI Access Foundation,1076-9757
Journal of Artificial Intelligence Research,AI Access Foundation,1943-5037
American Imago,Project Muse,0065-860X
American Imago,Project Muse,1085-7931
Chinese Management Studies,Emerald,1750-614X
Chinese Management Studies,Emerald,1750-6158
Communication Monographs,Informa UK Limited,0363-7751
Communication Monographs,Informa UK Limited,1479-5787
History and Theory,Wiley,0018-2656
History and Theory,Wiley,1468-2303
Rivista di estetica,OpenEdition,0035-6212
Rivista di estetica,OpenEdition,2421-5864
Psychiatric Genetics,Ovid Technologies (Wolters Kluwer Health),0955-8829
Psychiatric Genetics,Ovid Technologies (Wolters Kluwer Health),1473-5873
Research in Social Stratification and Mobility,Elsevier BV,0276-5624
Research in Social Stratification and Mobility,Elsevier BV,1878-5654
Translation and Interpreting Studies,John Benjamins Publishing Company,1876-2700
Translation and Interpreting Studies,John Benjamins Publishing Company,1932-2798
Modern China,SAGE Publications,0097-7004
Modern China,SAGE Publications,1552-6836
Industrial Archaeology Review,Informa UK Limited,0309-0728
Industrial Archaeology Review,Informa UK Limited,1745-8196
Pacific Science,Pacific Science,0030-8870
Pacific Science,Pacific Science,1534-6188
Journal of the Learning Sciences,Informa UK Limited,1050-8406
Journal of the Learning Sciences,Informa UK Limited,1532-7809
The Journal of Risk Model Validation,Infopro Digital Services Ltd,1753-9579
The Journal of Risk Model Validation,Infopro Digital Services Ltd,1753-9587
South African Journal of Economic and Management Sciences,AOSIS,1015-8812
South African Journal of Economic and Management Sciences,AOSIS,2222-3436
Science Progress,SAGE Publications,0036-8504
Science Progress,SAGE Publications,2047-7163
Ecological Chemistry and Engineering S,Walter de Gruyter GmbH,1898-6196
Ecological Chemistry and Engineering S,Walter de Gruyter GmbH,2084-4549
Neuropsychological Rehabilitation,Informa UK Limited,0960-2011
Neuropsychological Rehabilitation,Informa UK Limited,1464-0694
"Gender, Work & Organization",Wiley,0968-6673
"Gender, Work & Organization",Wiley,1468-0432
Computer Aided Surgery,Informa UK Limited,1092-9088
Computer Aided Surgery,Informa UK Limited,1097-0150
Contemporary Psychoanalysis,Informa UK Limited,0010-7530
Contemporary Psychoanalysis,Informa UK Limited,2330-9091
Revista Internacional de Andrología,Elsevier BV,1698-031X
Revista Internacional de Andrología,Elsevier BV,1698-0409
The Moving Image: The Journal of the Association of Moving Image Archivists,University of Minnesota Press,1532-3978
The Moving Image: The Journal of the Association of Moving Image Archivists,University of Minnesota Press,1542-4235
Nature Reviews Rheumatology,Springer Science and Business Media LLC,1759-4790
Nature Reviews Rheumatology,Springer Science and Business Media LLC,1759-4804
Immune Network,The Korean Association of Immunobiologists (KAMJE),1598-2629
Immune Network,The Korean Association of Immunobiologists (KAMJE),2092-6685
Revue d’études comparatives Est-Ouest,CAIRN,0338-0599
Revue d’études comparatives Est-Ouest,CAIRN,2259-6100
Recent Patents on Anti-Cancer Drug Discovery,Bentham Science Publishers Ltd.,1574-8928
Recent Patents on Anti-Cancer Drug Discovery,Bentham Science Publishers Ltd.,2212-3970
"Zurnal matematiceskoj fiziki, analiza, geometrii",Co. Ltd. Ukrinformnauka,1812-9471
"Zurnal matematiceskoj fiziki, analiza, geometrii",Co. Ltd. Ukrinformnauka,1817-5805
Journal of Career Development,SAGE Publications,0894-8453
Journal of Career Development,SAGE Publications,1556-0856
Revista Iberoamericana de Automática e Informática Industrial RIAI,Universitat Politecnica de Valencia,1697-7912
Revista Iberoamericana de Automática e Informática Industrial RIAI,Universitat Politecnica de Valencia,1697-7920
Asian Business & Management,Springer Science and Business Media LLC,1472-4782
Asian Business & Management,Springer Science and Business Media LLC,1476-9328
Macedonian Journal of Chemistry and Chemical Engineering,Society of Chemists and Technologists of Macedonia,1857-5552
Macedonian Journal of Chemistry and Chemical Engineering,Society of Chemists and Technologists of Macedonia,1857-5625
